"AssetTag","Name","Model","WarrantyExpires","Status","DaysRemaining","PurchaseDate","PurchaseCost"
"202","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"743","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1275","","Dell Chromebook 13 (3380)","N/A","No Warranty Data",,"N/A","400.00"
"2220","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"893","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1277","","Dell Chromebook 13 (3380)","N/A","No Warranty Data",,"N/A","400.00"
"1101","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"229","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1878","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"538","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"191","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1706","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"974","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"2127","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1763","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"1899","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"522","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"3162","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2145","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"2535","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"64LD793","","Dell Chromebook 3100 2-in-1","N/A","No Warranty Data",,"N/A","400.00"
"1SW5E3","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"244","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"2586","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
"341","","HP Chromebook 14 G7","N/A","No Warranty Data",,"N/A","400.00"
"1318","","Lenovo 14e Chromebook, Lenovo Chromebook S345-14","N/A","No Warranty Data",,"N/A","400.00"
"2244","","Dell Latitude 3445 Chromebook","N/A","No Warranty Data",,"N/A","400.00"
"697","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"950","","Dell Chromebook 3400","N/A","No Warranty Data",,"N/A","400.00"
"5CD11203VC","","Chromebook 14 G6","N/A","No Warranty Data",,"N/A","400.00"
"2584","","Dell Chromebook 3110","N/A","No Warranty Data",,"N/A","400.00"
